Timestamp,Gender,Happy,Sad,Angry,Disgusted,Fear,Surprised,Neutral
0,0,0.5699195768930087,0.3740578232835867,0.02507225383188162,0.005623777305319809,0.003954371372981463,0.01833538494923223,0.0030368123639894495
1,1,0.9008872583858701,0.09093756304246706,0.0001597237582784476,0.0027861525536120916,0.0011158456420110867,0.002879250585742587,0.0012342060320185795
2,0,0.9939217224370466,0.004430005639617253,0.0003773202640149442,0.00040265019990203617,0.00015253922375525815,0.0003248495519722472,0.0003909126836916419
4,0,0.44606249056103575,0.3926169911832959,0.014932738873748136,0.0007932762919089527,0.029659614942435585,0.03997978136214248,0.07595510678543316
5,0,0.9302745183653549,0.0075014233752162,0.008357027563729334,0.00031901265516546233,0.0087080325654856,0.016419983446419192,0.028420002028629265
6,0,0.3648601512188275,0.5120754751640627,0.004253824356875413,0.0002231246306114619,0.009591075966200053,0.011928483545593175,0.09706786511782972
7,0,0.6179454910824983,0.17333732048689263,0.06133738131948316,0.002094957843375964,0.12318678816516081,0.007157016070223801,0.014941045032365347
8,0,0.39873973692642,0.3614762297437148,0.009942504821337721,0.002555589268516567,0.01058073991971599,0.04208826279191437,0.17461693652838053
8,1,0.3513407971298391,0.057619870955451645,0.03294972065745335,0.0018802012050842469,0.20395106246361014,0.2126424896484001,0.13961585794016138
9,0,0.8587454196674599,0.07250155737601384,0.001976621008884019,0.002532002719384541,0.003292417125361624,0.004297733573796312,0.05665424852909983
10,0,0.7577618415053482,0.017965857293585734,0.0020122108261676555,0.00019422173808206702,0.006350856186711702,0.004050446660491349,0.21166456578961332
11,0,0.9768110459399961,0.0029763352012822635,0.0012080316811021966,7.72539692367223e-05,0.0013204453968098423,0.0012818119259170866,0.016325075885655786
12,0,0.3087820486037339,0.42421821049341407,0.025339390303544033,0.006658252898476084,0.045904328303522986,0.003168279498786963,0.18592948989852193
13,0,0.2592012193004344,0.04883784942521371,0.0033952272988030264,2.4029749292092568e-05,0.027955694960706733,0.006548926873050008,0.6540370523925
14,0,0.19938162393539013,0.5467031436575672,0.008859133576350953,2.760527491579998e-05,0.019055017978768286,0.004825416769087489,0.2211480588079201
15,1,0.8191558833148189,0.11410909965342197,0.0010770300235715506,0.00365368697732781,0.05415829697740963,0.0069148881020934215,0.0009311149513566575
16,1,0.9674423276209061,0.005343243173240657,0.012773704346174608,0.0005361696284476658,0.007929856884938344,0.001760895802734866,0.004213802543557791
17,0,0.02856115284530371,0.09797061347054614,0.003581512061969719,0.0006718118170012562,0.3253438510054687,0.04730308855177767,0.4965679702479328
18,1,0.9914750657533051,0.005052499271640438,0.00021683083331857804,0.001056663417035339,0.0005639599760579537,0.0013678420255326324,0.0002671387231099637
19,1,0.278585047048675,0.4209986336920385,0.03374427190747908,0.014564559822091013,0.03512648127065316,0.2131279859936386,0.003853020265424662
